algorithm,dim,seed,acc,best_alpha,best_div_score,best_div_external,best_div_internal,l,f,m
verse,16,6,0.8864,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
verse,16,7,0.8832,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
verse,16,8,0.8936,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
verse,16,9,0.888,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
verse,32,0,0.8768,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,32,1,0.888,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,32,2,0.8716,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,32,3,0.8652,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,32,4,0.868,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,32,5,0.8736,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,32,6,0.8824,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,32,7,0.8628,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,32,8,0.8784,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,32,9,0.8828,4.0,0.013881527702145128,0.01921165120614575,0.008551404198144508,200,0,diameter
verse,64,0,0.87,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,64,1,0.8556,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,64,2,0.8624,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,64,3,0.8464,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,64,4,0.856,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,64,5,0.8732,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,64,6,0.8604,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,64,7,0.8632,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,64,8,0.87,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,64,9,0.8652,5.5,0.018825372312637451,0.031758017146914438,0.0058927274783604636,200,0,diameter
verse,128,0,0.8404,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
verse,128,1,0.8492,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
verse,128,2,0.8408,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
verse,128,3,0.8532,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
verse,128,4,0.8468,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
verse,128,5,0.8448,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
verse,128,6,0.8264,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
verse,128,7,0.8472,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
verse,128,8,0.854,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
verse,128,9,0.8356,0.25,0.019866935525520737,0.03325022856797924,0.0064836424830622338,200,0,diameter
deepwalk,16,0,0.9876,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,16,1,0.9888,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,16,2,0.9908,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,16,3,0.994,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,16,4,0.994,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,16,5,0.99,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,16,6,0.9892,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,16,7,0.988,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,16,8,0.9924,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,16,9,0.992,2.5,0.0083506234858049325,0.0063248085787265713,0.010376438392883295,200,0,diameter
deepwalk,32,0,0.9916,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,32,1,0.9916,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,32,2,0.9928,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,32,3,0.9908,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,32,4,0.992,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,32,5,0.9932,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,32,6,0.9896,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,32,7,0.9912,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,32,8,0.9908,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,32,9,0.992,2.75,0.0026027759492727107,0.00070678278361511115,0.0044987691149303106,200,0,diameter
deepwalk,4,0,0.756,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,4,1,0.7828,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,4,2,0.756,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,4,3,0.7492,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,4,4,0.7584,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,4,5,0.7548,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,4,6,0.7748,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,4,7,0.7636,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,4,8,0.7644,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,4,9,0.7568,0.5,0.021056508356763735,0.035766864255702815,0.0063461524578246539,200,0,diameter
deepwalk,64,0,0.992,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,64,1,0.9892,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,64,2,0.9864,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,64,3,0.9888,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,64,4,0.9892,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,64,5,0.9908,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,64,6,0.9892,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,64,7,0.9868,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,64,8,0.9892,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,64,9,0.9872,1.5,0.0062046582060522725,0.0063273229333638981,0.006081993478740646,200,0,diameter
deepwalk,8,0,0.9776,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,8,1,0.9812,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,8,2,0.986,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,8,3,0.9828,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,8,4,0.9812,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,8,5,0.984,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,8,6,0.9832,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,8,7,0.9812,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,8,8,0.9872,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,8,9,0.9872,0.75,0.017495380450925947,0.027822611845621327,0.0071681490562305692,200,0,diameter
deepwalk,128,0,0.9888,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
deepwalk,128,1,0.9828,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
deepwalk,128,2,0.9872,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
deepwalk,128,3,0.984,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
deepwalk,128,4,0.9836,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
deepwalk,128,5,0.9856,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
deepwalk,128,6,0.9836,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
deepwalk,128,7,0.982,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
deepwalk,128,8,0.9808,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
deepwalk,128,9,0.988,1.75,0.0069452232473580667,0.0078017879462895044,0.006088658548426629,200,0,diameter
