algorithm,dim,seed,acc,best_alpha,best_div_score,best_div_external,best_div_internal,l,f,m
n2v,4,9,0.7608,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
n2v,64,0,0.972,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,64,1,0.9756,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,64,2,0.974,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,64,3,0.9752,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,64,4,0.9724,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,64,5,0.9752,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,64,6,0.9772,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,64,7,0.9744,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,64,8,0.9716,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,64,9,0.9764,2.0,0.0017304397685315837,0.0010562601076581637,0.0024046194294050039,200,0,diameter
n2v,8,0,0.9792,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,8,1,0.9816,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,8,2,0.9796,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,8,3,0.976,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,8,4,0.9772,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,8,5,0.978,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,8,6,0.9832,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,8,7,0.98,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,8,8,0.9828,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,8,9,0.9796,1.0,0.016602892594672583,0.025201588817597358,0.00800419637174781,200,0,diameter
n2v,128,0,0.9752,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
n2v,128,1,0.9612,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
n2v,128,2,0.9668,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
n2v,128,3,0.9616,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
n2v,128,4,0.9696,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
n2v,128,5,0.9676,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
n2v,128,6,0.9672,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
n2v,128,7,0.9656,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
n2v,128,8,0.9644,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
n2v,128,9,0.9656,3.0,0.0029911810643166912,0.0030452219422631281,0.0029371401863702543,200,0,diameter
hope,16,0,0.7424,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
hope,16,1,0.7436,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
