experiment,algorithm,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph,iter,alg_duration,cge_duration
9,LINE,5.75,0.013624080790595551,0.016234551148931738,0.011013610432259366,64,200,0,diameter,github.edgelist,1721612123,00:04:22.608443,00:00:10.267023
9,LINE,5.0,0.010840958853135307,0.011914817585870811,0.009767100120399802,128,200,0,diameter,github.edgelist,1721612123,00:06:34.942865,00:00:13.187114
9,HOPE,0.25,0.027797494364263934,0.028822221041261007,0.026772767687266861,4,200,0,diameter,github.edgelist,1721612234,00:12:58.441781,00:00:10.815262
9,HOPE,0.5,0.0279252016293021,0.029288686528988486,0.026561716729615714,8,200,0,diameter,github.edgelist,1721612234,00:13:00.277444,00:00:10.511385
9,HOPE,0.5,0.02717666766855948,0.027865827353341859,0.026487507983777105,16,200,0,diameter,github.edgelist,1721612234,00:13:05.301554,00:00:09.332595
9,HOPE,0.5,0.026669562722976058,0.026870407510536452,0.026468717935415664,32,200,0,diameter,github.edgelist,1721612234,00:13:16.724198,00:00:09.643722
9,HOPE,0.5,0.026700402815422651,0.026936621993852886,0.026464183636992416,64,200,0,diameter,github.edgelist,1721612234,00:14:04.307742,00:00:10.272846
9,HOPE,0.5,0.026225059307115675,0.025984148053452144,0.026465970560779206,128,200,0,diameter,github.edgelist,1721612234,00:14:12.573728,00:00:11.537318
9,LINE,2.0,0.021708511682841682,0.029819389459058328,0.013597633906625039,4,200,0,diameter,github.edgelist,1721612152,00:02:40.131338,00:00:07.405951
9,LINE,3.75,0.017646466307958786,0.022959768376840269,0.012333164239077305,8,200,0,diameter,github.edgelist,1721612152,00:02:53.586964,00:00:07.514677
9,LINE,6.25,0.015982215324745155,0.017104679367489391,0.014859751282000922,16,200,0,diameter,github.edgelist,1721612152,00:03:01.390229,00:00:07.586887
9,LINE,6.75,0.014703049779243643,0.015374607321333318,0.014031492237153968,32,200,0,diameter,github.edgelist,1721612152,00:03:21.521127,00:00:08.639283
9,LINE,5.75,0.013624080790595551,0.016234551148931738,0.011013610432259366,64,200,0,diameter,github.edgelist,1721612152,00:04:10.702645,00:00:09.485777
9,LINE,5.0,0.010840958853135307,0.011914817585870811,0.009767100120399802,128,200,0,diameter,github.edgelist,1721612152,00:06:37.420108,00:00:11.576378
9,HOPE,0.25,0.027797494364263934,0.028822221041261007,0.026772767687266861,4,200,0,diameter,github.edgelist,1721612162,00:12:52.912394,00:00:09.197223
