algorithm,seed,dim,best_div_score,runtime
N2V,0,64,0.000123964715707,773.858777
N2V,0,64,0.0001302410139554,708.471733
N2V,0,128,0.0001268614767257,793.356366
N2V,0,128,0.0001083008848319,837.006528
HOPE,0,4,0.005430183239185,1007.038061
HOPE,0,4,0.005430183239185,1026.997823
HOPE,0,8,0.0027085181594179,1043.395722
HOPE,0,8,0.0027085181594179,989.124761
HOPE,0,16,0.0023722274887099,1010.982893
HOPE,0,16,0.0023722274887099,1011.038863
HOPE,0,32,0.0031155030175394,1082.813793
HOPE,0,32,0.0031155030175394,1061.762276
HOPE,0,64,0.0029298550199347,1155.449981
HOPE,0,64,0.0029298550199347,1155.590118
HOPE,0,128,0.0025570146450785,1224.309966
HOPE,0,128,0.0025570146450785,1324.759624
DeepWalk,0,4,0.0043914194138236,734.52105
DeepWalk,0,4,0.0045377985837614,747.703321
DeepWalk,0,8,0.0012586477238672,682.908754
DeepWalk,0,8,0.0012456836974022,682.365609
DeepWalk,0,16,0.0015652482296336,1120.180755
DeepWalk,0,16,0.0016112382172207,1110.310361
DeepWalk,0,32,0.0011991131108262,1349.89278
DeepWalk,0,32,0.0010417018364671,1344.907639
DeepWalk,0,64,0.0006956842381089,1631.144989
DeepWalk,0,64,0.0007776957794156,1640.920648
DeepWalk,0,128,0.000486754686466,2594.382116
DeepWalk,0,128,0.0005104908859659,2629.65058
LINE,0,4,0.0056708921538822,190.564488
LINE,0,4,0.0056708921538822,185.155128
LINE,0,8,0.0033952631861176,199.325161
LINE,0,8,0.0033952631861176,200.006455
LINE,0,16,0.0007042532754673,218.647316
LINE,0,16,0.0007042532754673,221.094451
LINE,0,32,0.0026442814338016,251.336399
LINE,0,32,0.0026442814338016,250.348671
LINE,0,64,0.0008287970547593,349.448678
LINE,0,64,0.0008287970547593,355.966931
LINE,0,128,0.0006226291357473,579.630064
LINE,0,128,0.0006226291357473,599.027085
SDNE,0,4,0.0047971088808172,263.347284
SDNE,0,4,0.0039392041687402,248.32225
SDNE,0,8,0.0039715282417718,248.083805
SDNE,0,8,0.0040321116635694,240.208133
SDNE,0,16,0.0046412442486342,256.403616
SDNE,0,16,0.0032721785908971,230.594528
SDNE,0,32,0.0043371518008183,231.183302
SDNE,0,32,0.0037617154093349,269.767417
SDNE,0,64,0.0048806088357092,269.451586
SDNE,0,64,0.0042112556739544,266.916103
