experiment,algorithm,gamma,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph_seed,iter,alg_duration,cge_duration
4,deepWalk,2.3,3.5,0.00046873299076272341,0.00021401367852498884,0.00072345230300045792,128,200,0,diameter,exp4_network_seed24_param2_3.dat,172161211,00:05:06.435616,00:00:11.847860
4,deepWalk,2.3,3.25,0.0005018120617157185,0.00024016427867801313,0.00076345984475342387,128,200,0,diameter,exp4_network_seed25_param2_3.dat,172161211,00:05:10.801554,00:00:12.634503
4,deepWalk,2.3,3.5,0.00041791585541152789,0.00021217009680271246,0.00062366161402034332,128,200,0,diameter,exp4_network_seed26_param2_3.dat,172161211,00:04:55.346225,00:00:13.741906
4,deepWalk,2.3,3.25,0.00043675574657041556,0.00031202937376894284,0.00056148211937188822,128,200,0,diameter,exp4_network_seed27_param2_3.dat,172161211,00:05:08.479922,00:00:12.112756
4,deepWalk,2.3,3.25,0.00043628316843334478,0.00032753014290697632,0.00054503619395971324,128,200,0,diameter,exp4_network_seed28_param2_3.dat,172161211,00:05:01.103822,00:00:15.002358
4,deepWalk,2.3,3.5,0.00042316298794540006,0.00030592422342849582,0.0005404017524623043,128,200,0,diameter,exp4_network_seed29_param2_3.dat,172161211,00:05:04.676230,00:00:11.793421
4,deepWalk,2.1,3.25,0.00064191227503400264,0.00040939775735465629,0.000874426792713349,128,200,0,diameter,exp4_network_seed2_param2_1.dat,172161211,00:05:07.073853,00:00:11.781923
4,deepWalk,2.4,3.75,0.00037978567680890492,0.00028788462071081697,0.00047168673290699293,128,200,0,diameter,exp4_network_seed30_param2_4.dat,172161211,00:05:02.462272,00:00:12.202093
4,deepWalk,2.4,3.5,0.00035668211618572905,0.0002167100051968235,0.00049665422717463459,128,200,0,diameter,exp4_network_seed31_param2_4.dat,172161211,00:04:59.937314,00:00:12.913789
4,deepWalk,2.4,3.5,0.00037933262605944861,0.000274613668438098,0.00048405158368079921,128,200,0,diameter,exp4_network_seed32_param2_4.dat,1721612126,00:03:51.292986,00:00:12.223599
4,deepWalk,2.4,3.25,0.00040528697245618349,0.00025027358673604318,0.00056030035817632379,128,200,0,diameter,exp4_network_seed33_param2_4.dat,1721612126,00:03:48.796534,00:00:12.175135
4,deepWalk,2.4,3,0.00037867627287805131,0.00032384970326866604,0.00043350284248743653,128,200,0,diameter,exp4_network_seed34_param2_4.dat,1721612126,00:03:41.610673,00:00:11.697911
4,deepWalk,2.4,3.75,0.00031593399040269574,0.00017002885357020567,0.00046183912723518584,128,200,0,diameter,exp4_network_seed35_param2_4.dat,1721612126,00:03:50.590240,00:00:11.137704
4,deepWalk,2.4,3.25,0.00036938764200946414,0.00023500486648930178,0.0005037704175296265,128,200,0,diameter,exp4_network_seed36_param2_4.dat,1721612126,00:03:50.665226,00:00:13.460941
4,deepWalk,2.4,3.75,0.00033537809903108796,0.00019599962064305047,0.00047475657741912543,128,200,0,diameter,exp4_network_seed37_param2_4.dat,1721612126,00:04:04.998040,00:00:11.365574
4,deepWalk,2.4,3,0.00050267011833837966,0.00036053808597569345,0.00064480215070106576,128,200,0,diameter,exp4_network_seed38_param2_4.dat,1721612126,00:03:55.257192,00:00:12.038224
4,deepWalk,2.4,3.75,0.00033045473864848183,0.00019195708187602945,0.00046895239542093424,128,200,0,diameter,exp4_network_seed39_param2_4.dat,1721612126,00:03:53.424101,00:00:12.233126
4,deepWalk,2.1,3,0.00061905517643586134,0.00034960915962552354,0.00088850119324619908,128,200,0,diameter,exp4_network_seed3_param2_1.dat,1721612126,00:03:45.579752,00:00:12.185827
4,deepWalk,2.5,3.25,0.0003532932013442462,0.00027726219871750113,0.00042932420397099127,128,200,0,diameter,exp4_network_seed40_param2_5.dat,1721612126,00:03:43.859702,00:00:11.932686
4,deepWalk,2.5,3.25,0.00034475701170749376,0.0002561909227474918,0.00043332310066749571,128,200,0,diameter,exp4_network_seed41_param2_5.dat,1721612126,00:03:41.253877,00:00:12.051575
4,deepWalk,2.5,4,0.00034559065157838711,0.00027807365687313541,0.00041310764628363882,128,200,0,diameter,exp4_network_seed42_param2_5.dat,1721612126,00:03:41.114572,00:00:11.791475
4,deepWalk,2.5,3.25,0.00041901070590863237,0.0002652594182818897,0.000572761993535375,128,200,0,diameter,exp4_network_seed43_param2_5.dat,1721612126,00:03:41.038696,00:00:12.126411
4,deepWalk,2.5,3.25,0.00044296854055335204,0.00024840136683306315,0.00063753571427364094,128,200,0,diameter,exp4_network_seed44_param2_5.dat,1721612126,00:03:46.302736,00:00:11.733303
4,deepWalk,2.5,3.75,0.00031195987093896423,0.00028001964665288321,0.00034390009522504525,128,200,0,diameter,exp4_network_seed45_param2_5.dat,1721612126,00:03:44.272581,00:00:11.221225
