experiment,algorithm,auc,acc,best_alpha,best_div_score,best_div_external,best_div_internal,l,f,m,dim,graph,seed
11,deepWalk,0.805348196223171,0.73694646397885,1.25,2.1287655853545546e-05,1.9893952382742854e-05,2.2681359324348239e-05,200,0,diameter,16,exp11_community_seed1_7.dat,4
11,deepWalk,0.79394102728981553,0.72504957038995377,1.0,2.3889179067826167e-05,2.4877370561609988e-05,2.2900987574042347e-05,200,0,diameter,32,exp11_community_seed1_7.dat,4
11,deepWalk,0.78753526388833672,0.71992729676140121,0.5,2.7676720861439782e-05,3.0874163039016671e-05,2.4479278683862893e-05,200,0,diameter,64,exp11_community_seed1_7.dat,4
11,deepWalk,0.77837042066356832,0.7078651685393258,3.5,1.8320855547639313e-05,1.5824752252225249e-05,2.0816958843053372e-05,200,0,diameter,128,exp11_community_seed1_7.dat,4
11,deepWalk,0.818938963222025,0.78916060806345012,0.25,2.4739892979570732e-05,2.7833810209456874e-05,2.164597574968459e-05,200,0,diameter,4,exp11_community_seed1_7.dat,9
11,deepWalk,0.81514187025946971,0.76040978189028419,3.25,2.7326495861526402e-05,2.375797539259228e-05,3.0895016330460525e-05,200,0,diameter,8,exp11_community_seed1_7.dat,9
11,deepWalk,0.80763447893100082,0.74471249173826837,1.5,2.0774530158370148e-05,2.1747672662914214e-05,1.9801387653826085e-05,200,0,diameter,16,exp11_community_seed1_7.dat,9
11,deepWalk,0.79587480762669771,0.72769332452081958,1.0,1.86573238763111e-05,1.5640981654857451e-05,2.1673666097764749e-05,200,0,diameter,32,exp11_community_seed1_7.dat,9
11,deepWalk,0.78506638216750257,0.71893588896232652,0.75,1.9513341529900763e-05,1.7548811076588584e-05,2.1477871983212938e-05,200,0,diameter,64,exp11_community_seed1_7.dat,9
11,deepWalk,0.77470260496276155,0.71050892267019172,0.5,2.0414100368437396e-05,1.8856716033059813e-05,2.1971484703814978e-05,200,0,diameter,128,exp11_community_seed1_7.dat,9
11,deepWalk,0.818105363780481,0.79097818902842032,0.25,3.0326523791487967e-05,3.1727769913946036e-05,2.89252776690299e-05,200,0,diameter,4,exp11_community_seed1_7.dat,7
11,deepWalk,0.81314914385962767,0.7556179775280899,2.0,2.9771082894024717e-05,2.8427824818584283e-05,3.1114340969465147e-05,200,0,diameter,8,exp11_community_seed1_7.dat,7
11,deepWalk,0.80331315097312606,0.73925974884335754,1.0,2.4619037230495406e-05,2.0584812883542113e-05,2.86532615774487e-05,200,0,diameter,16,exp11_community_seed1_7.dat,7
11,deepWalk,0.79840558407876394,0.7303370786516854,0.5,2.7187721365441182e-05,2.6076349594541723e-05,2.8299093136340641e-05,200,0,diameter,32,exp11_community_seed1_7.dat,7
11,deepWalk,0.78698307114939969,0.71860541969596825,0.5,2.6690245135269654e-05,2.4681828162384376e-05,2.8698662108154933e-05,200,0,diameter,64,exp11_community_seed1_7.dat,7
11,deepWalk,0.778307897975204,0.7116655651024455,0.75,2.7013184530925486e-05,2.6238203182928858e-05,2.7788165878922115e-05,200,0,diameter,128,exp11_community_seed1_7.dat,7
11,hope,0.326668432955365,0.3782220753469927,2.25,2.5053025836294312e-05,3.1180431530193506e-05,1.8925620142395121e-05,200,0,diameter,4,exp11_community_seed1_7.dat,2
11,hope,0.33105837205553634,0.37756113681427628,1.75,2.6610439194113079e-05,3.4442547727169758e-05,1.87783306610564e-05,200,0,diameter,8,exp11_community_seed1_7.dat,2
11,hope,0.31646194536095851,0.36103767349636484,2.25,4.2097742629547043e-05,6.3752545301455854e-05,2.0442939957638235e-05,200,0,diameter,16,exp11_community_seed1_7.dat,2
11,hope,0.30377333434097703,0.36054196959682749,1.0,3.9298387191426011e-05,5.860185737899807e-05,1.9994917003853953e-05,200,0,diameter,32,exp11_community_seed1_7.dat,2
11,hope,0.28795637740158109,0.34500991407799075,1.5,5.3796764901035087e-05,8.7512805357078293e-05,2.0080724444991874e-05,200,0,diameter,64,exp11_community_seed1_7.dat,2
11,hope,0.26931017325501089,0.33030403172504957,2.0,6.64603106068579e-05,0.00011185969696644475,2.1060924247271061e-05,200,0,diameter,128,exp11_community_seed1_7.dat,2
11,deepWalk,0.8195867146549688,0.79015201586252481,10.0,2.9731214240354976e-05,3.240128192092497e-05,2.7061146559784983e-05,200,0,diameter,4,exp11_community_seed1_7.dat,1
11,deepWalk,0.81489328114263293,0.75826173165895572,0.25,3.1719794930875004e-05,4.0966472383521711e-05,2.2473117478228303e-05,200,0,diameter,8,exp11_community_seed1_7.dat,1
11,deepWalk,0.80128072676154538,0.73165895571711825,1.0,2.8891654359822134e-05,3.5274610697959374e-05,2.2508698021684895e-05,200,0,diameter,16,exp11_community_seed1_7.dat,1
11,deepWalk,0.79324284816892066,0.72455386649041642,0.75,2.7857304506175694e-05,3.3292285416163312e-05,2.2422323596188077e-05,200,0,diameter,32,exp11_community_seed1_7.dat,1
