experiment,algorithm,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph,iter,alg_duration,cge_duration
9,DeepWalk,10.0,0.0030170923929443523,0.0028128155514102076,0.0032213692344784974,64,200,0,diameter,airports.edgelist,1721612117,00:00:08.081989,00:00:07.301622
9,DeepWalk,10.0,0.0030020300735146476,0.0026938740820167503,0.0033101860650125449,128,200,0,diameter,airports.edgelist,1721612117,00:00:10.598510,00:00:07.769896
9,DeepWalk,10.0,0.0040438696975228106,0.0053058772491583047,0.0027818621458873169,4,200,0,diameter,airports.edgelist,1721612162,00:00:06.154235,00:00:06.793780
9,DeepWalk,10.0,0.003825706122877034,0.0044913698236461741,0.0031600424221078934,8,200,0,diameter,airports.edgelist,1721612162,00:00:07.554284,00:00:07.199091
9,DeepWalk,10.0,0.0031963356013147686,0.0035277940115061974,0.00286487719112334,16,200,0,diameter,airports.edgelist,1721612162,00:00:07.037853,00:00:07.047206
9,DeepWalk,10.0,0.0032772891500953624,0.0034876569639351739,0.0030669213362555514,32,200,0,diameter,airports.edgelist,1721612162,00:00:08.240808,00:00:07.198612
9,DeepWalk,10.0,0.0031521585602943764,0.003215287228471198,0.0030890298921175548,64,200,0,diameter,airports.edgelist,1721612162,00:00:07.673407,00:00:07.577619
9,DeepWalk,10.0,0.00319996325271245,0.0030133438123368553,0.0033865826930880452,128,200,0,diameter,airports.edgelist,1721612162,00:00:12.550051,00:00:07.920611
9,DeepWalk,10.0,0.00350862481856081,0.0047132872603553918,0.0023039623767662281,4,200,0,diameter,airports.edgelist,1721612177,00:00:06.818971,00:00:08.208086
9,DeepWalk,10.0,0.0035967032453359735,0.00419076734044454,0.0030026391502274061,8,200,0,diameter,airports.edgelist,1721612177,00:00:08.048457,00:00:07.093853
9,DeepWalk,10.0,0.0037051494024939796,0.0043359949586979467,0.003074303846290012,16,200,0,diameter,airports.edgelist,1721612177,00:00:07.345350,00:00:07.097820
9,DeepWalk,10.0,0.0036749163427052243,0.0040848041427567986,0.00326502854265365,32,200,0,diameter,airports.edgelist,1721612177,00:00:07.413368,00:00:07.214648
9,DeepWalk,10.0,0.0029628933524753491,0.0028490040017264311,0.0030767827032242671,64,200,0,diameter,airports.edgelist,1721612177,00:00:10.280332,00:00:07.303440
9,DeepWalk,10.0,0.0029039815125627942,0.0026619262559631016,0.0031460367691624872,128,200,0,diameter,airports.edgelist,1721612177,00:00:11.262694,00:00:07.633852
9,DeepWalk,10.0,0.0031077467628405344,0.0041031307171689032,0.0021123628085121652,4,200,0,diameter,airports.edgelist,1721612123,00:00:06.446186,00:00:07.235675
9,DeepWalk,10.0,0.0036776728359081282,0.004260430054771446,0.00309491561704481,8,200,0,diameter,airports.edgelist,1721612123,00:00:06.299109,00:00:07.029062
9,DeepWalk,10.0,0.0033535278129584638,0.00373078472595199,0.0029762708999649377,16,200,0,diameter,airports.edgelist,1721612123,00:00:07.010861,00:00:07.194647
9,DeepWalk,10.0,0.0033930447093693753,0.003563710109316387,0.0032223793094223632,32,200,0,diameter,airports.edgelist,1721612123,00:00:07.219034,00:00:07.270719
9,DeepWalk,10.0,0.00317051455076836,0.0030408026461917754,0.0033002264553449448,64,200,0,diameter,airports.edgelist,1721612123,00:00:09.341488,00:00:07.392844
9,DeepWalk,10.0,0.0033121835913108525,0.0033189419918636118,0.0033054251907580928,128,200,0,diameter,airports.edgelist,1721612123,00:00:10.787417,00:00:07.990286
9,DeepWalk,10.0,0.0036508479369608553,0.0046667077785273814,0.0026349880953943292,4,200,0,diameter,airports.edgelist,1721612163,00:00:06.228716,00:00:07.268852
