experiment,algorithm,delta_exp,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph_seed
8,deepWalk,0.35,2.5,0.00034012117732402892,0.00020960637469806293,0.00047063597994999491,128,200,0,diameter,exp8_network_seed25_param0_35.dat
8,deepWalk,0.35,2.5,0.00031254317828869141,0.00022094688206168007,0.00040413947451570269,128,200,0,diameter,exp8_network_seed26_param0_35.dat
8,deepWalk,0.35,3,0.00025406159126379311,0.00021449306234793607,0.00029363012017965011,128,200,0,diameter,exp8_network_seed27_param0_35.dat
8,deepWalk,0.35,2.5,0.00029465647255008974,0.00029037278740311721,0.00029894015769706226,128,200,0,diameter,exp8_network_seed28_param0_35.dat
8,deepWalk,0.35,2.5,0.00036744249217403308,0.00026678363121542014,0.000468101353132646,128,200,0,diameter,exp8_network_seed29_param0_35.dat
8,deepWalk,0.25,2.75,0.00042933141171859062,0.00035980879516910817,0.00049885402826807307,128,200,0,diameter,exp8_network_seed2_param0_25.dat
8,deepWalk,0.4,2.5,0.000316208799253248,0.00027516164843438768,0.00035725595007210829,128,200,0,diameter,exp8_network_seed30_param0_4.dat
8,deepWalk,0.4,2.75,0.00019486802330664113,0.000129941297048626,0.00025979474956465626,128,200,0,diameter,exp8_network_seed31_param0_4.dat
8,deepWalk,0.5,3.5,0.00041377398089402506,0.00025490822286464854,0.00057263973892340164,128,200,0,diameter,exp8_network_seed55_param0_5.dat
8,deepWalk,0.5,3.5,0.00033983517950700033,0.00025918500795161673,0.00042048535106238393,128,200,0,diameter,exp8_network_seed56_param0_5.dat
8,deepWalk,0.5,3.5,0.0003307299065085621,0.00018870867464774164,0.00047275113836938256,128,200,0,diameter,exp8_network_seed57_param0_5.dat
8,deepWalk,0.5,3,0.00044798351948513091,0.0002898275511523463,0.00060613948781791552,128,200,0,diameter,exp8_network_seed58_param0_5.dat
8,deepWalk,0.5,3.25,0.00038819582559307343,0.00022905814539712845,0.00054733350578901841,128,200,0,diameter,exp8_network_seed59_param0_5.dat
8,deepWalk,0.25,2.75,0.00024765706494400252,0.00023870811863917012,0.00025660601124883491,128,200,0,diameter,exp8_network_seed5_param0_25.dat
